episode,reward,length,epsilon
618,-149.76515086870825,156,0.03670620189207987
619,-97.33704664203937,187,0.036687848791133834
620,-381.45144646884125,132,0.03666950486673827
621,-359.0797566636573,121,0.0366511701143049
622,-246.27161611222974,186,0.036632844529247754
623,-152.39611801044913,100,0.03661452810698313
624,30.43673918389561,171,0.03659622084292964
625,-249.5477439802589,146,0.03657792273250818
626,-251.63593806569895,146,0.03655963377114193
627,-360.0335017290165,112,0.03654135395425636
628,-139.16666835736152,122,0.03652308327727923
629,-446.5714468051269,99,0.0365048217356406
630,-148.46049154057602,81,0.03648656932477278
631,-304.05302392874637,110,0.036468326040110396
632,-55.9329711224688,119,0.03645009187709034
633,-297.78768244743503,103,0.0364318668311518
634,-362.4335650862161,112,0.036413650897736224
